Time,DEMG1_AR1,DEMG1_AR2,DEMG1_AR3,DEMG1_AR4,DEMG1_AR5,DEMG1_AR6,DEMG1_RMS,DEMG3_AR1,DEMG3_AR2,DEMG3_AR3,DEMG3_AR4,DEMG3_AR5,DEMG3_AR6,DEMG3_RMS,DEMG5_AR1,DEMG5_AR2,DEMG5_AR3,DEMG5_AR4,DEMG5_AR5,DEMG5_AR6,DEMG5_RMS,DEMG7_AR1,DEMG7_AR2,DEMG7_AR3,DEMG7_AR4,DEMG7_AR5,DEMG7_AR6,DEMG7_RMS,DEMG9_AR1,DEMG9_AR2,DEMG9_AR3,DEMG9_AR4,DEMG9_AR5,DEMG9_AR6,DEMG9_RMS,DEMG11_AR1,DEMG11_AR2,DEMG11_AR3,DEMG11_AR4,DEMG11_AR5,DEMG11_AR6,DEMG11_RMS,DEMG13_AR1,DEMG13_AR2,DEMG13_AR3,DEMG13_AR4,DEMG13_AR5,DEMG13_AR6,DEMG13_RMS,knee_angle_l,ankle_angle_l,knee_angle_l_moment,ankle_angle_l_moment
72.65,0.543913704,-0.722935992,0.527161639,-0.596769775,0.336674853,-0.4043942,0.005118663,0.829857961,-1.034290819,0.732757521,-0.697733116,0.324587346,-0.303800458,0.01403931,0.560274963,-0.815679867,0.655969333,-0.666554849,0.259872119,-0.23314422,0.004787014,0.855045417,-0.958110129,0.734355614,-0.830822878,0.499408475,-0.351771431,0.019061374,0.541263234,-0.877264718,0.476137541,-0.795176142,0.237898813,-0.267233695,0.024849789,0.426733904,-1.088039747,0.644452436,-0.801696032,0.341244,-0.431364285,0.078994219,0.864212982,-1.021066993,0.831276953,-0.860473857,0.351893459,-0.222876773,0.042820081,-26.20060945,17.79060984,8.585762,-25.74154779
72.7,0.557048804,-0.749698849,0.566565575,-0.593537225,0.285737188,-0.321122507,0.004806739,0.686718523,-0.90863531,0.661031318,-0.872350742,0.350196696,-0.414908937,0.007987895,0.456297453,-0.645562741,0.506178002,-0.607771752,0.257848255,-0.24475366,0.005522952,0.865237753,-0.990759528,0.811902718,-0.813771785,0.585042194,-0.303023298,0.014520038,0.468221304,-1.000052115,0.515465374,-0.837456269,0.209004662,-0.428836866,0.022610649,0.488073845,-1.072966315,0.807421497,-0.723754278,0.358367394,-0.371032718,0.073315992,0.814706496,-1.030020284,0.807705733,-0.840507273,0.449584468,-0.404667715,0.042146425,-25.89095044,18.67954947,8.70532702,-29.48187845
72.75,0.612560356,-0.792337975,0.653111913,-0.642423151,0.262551172,-0.213263105,0.005027983,0.629159737,-0.67958459,0.587354185,-0.568323411,0.232063377,-0.329288469,0.007963663,0.302531717,-0.445518714,0.361489538,-0.513642276,0.233817431,-0.131861627,0.005305215,0.643530903,-0.803694361,0.650875789,-0.681770845,0.372068931,-0.50305637,0.008462558,0.355359557,-1.073540083,0.536214438,-0.719320574,0.26015483,-0.315005246,0.013579102,0.362248834,-1.068738872,0.572123869,-0.663439357,0.329334225,-0.276562941,0.055755585,0.776460879,-1.062517128,0.877135701,-0.844690853,0.418431372,-0.375742471,0.039644334,-25.91157586,19.09092593,9.2029336,-30.03972246
72.8,0.775518776,-0.728841445,0.667537579,-0.710889337,0.386395604,-0.307448058,0.005426238,0.935709336,-1.068291855,0.886333011,-0.810088214,0.436458845,-0.38293479,0.00950173,0.763799173,-0.662171461,0.524432001,-0.587289876,0.342565149,-0.346391698,0.006195409,0.241528389,-0.640988701,0.563969569,-0.47875626,0.248743174,-0.40157876,0.004555911,0.500131821,-0.648382131,0.504676969,-0.616728913,0.350393929,-0.321391096,0.007123596,0.326534144,-1.156623774,0.27327153,-0.923276739,0.16441966,-0.388326807,0.044776521,0.546430416,-1.080421994,0.575697434,-0.92916893,0.334554108,-0.279548529,0.041774835,-25.88112208,19.14693517,7.49961761,-32.91324166
72.85,0.764438513,-0.790097785,0.602387704,-0.694453933,0.520811232,-0.444757587,0.005515228,0.972845728,-1.134076839,0.990203518,-0.905234641,0.510445586,-0.454436825,0.012571974,1.059916061,-1.243531701,1.17643551,-1.02291427,0.626561953,-0.444113935,0.007100718,0.633250249,-0.962461739,0.750351342,-0.828556533,0.445951462,-0.362835076,0.010374946,0.498825276,-0.594067829,0.479759152,-0.531815371,0.31192723,-0.33486838,0.006020643,0.576170224,-1.200686882,0.590758447,-0.988719419,0.215985522,-0.279056442,0.024183015,0.40987739,-0.95988276,0.398629245,-0.890119283,0.230138558,-0.310542913,0.048871046,-26.31448059,19.02576398,5.68586368,-36.02958023
72.9,0.605642244,-0.736516926,0.572521287,-0.521129513,0.340631659,-0.327897205,0.005690355,0.803690727,-0.979892864,0.794141211,-0.679142895,0.245492679,-0.319693086,0.015673992,0.675844543,-1.077897993,0.882988196,-0.816818164,0.548535277,-0.571670872,0.0082444,0.803993906,-1.352166885,0.995550432,-1.153340144,0.538136064,-0.542890896,0.023899861,0.554070718,-0.615881205,0.526638706,-0.453805493,0.295390708,-0.489336329,0.007993413,0.438860285,-0.602237779,0.594257571,-0.646787865,0.163572978,-0.452795675,0.012849856,0.506769064,-0.917601028,0.501289034,-0.738444569,0.235885298,-0.375318581,0.045248543,-27.12904392,18.70016396,4.93662802,-37.35195725
72.95,0.695661605,-0.679667489,0.546445747,-0.575397352,0.343024432,-0.267923404,0.006636723,0.752963713,-0.974663089,0.725543518,-0.770668181,0.284273727,-0.467421743,0.018413628,1.02715024,-1.179489843,1.0488289,-1.060295739,0.672162406,-0.629421062,0.01856928,0.767959058,-1.210714147,0.901930555,-1.012727638,0.451402998,-0.466553616,0.024755346,0.748920785,-0.718415002,0.623466936,-0.484975482,0.304112109,-0.385210128,0.009682905,0.579806316,-0.721438548,0.538279208,-0.639072004,0.250237711,-0.376656536,0.017944721,0.670653273,-1.235188291,0.88968097,-1.100798375,0.4743162,-0.488496057,0.039125777,-28.04493016,18.04575961,5.61117523,-35.49961647
73,0.872679285,-0.765519744,0.674229249,-0.742088514,0.637620372,-0.380586826,0.006802203,0.830069771,-1.05625894,0.7754547,-0.836880091,0.396365489,-0.490864445,0.013248539,1.185042266,-1.357170682,1.131002924,-1.004021839,0.402408979,-0.303371629,0.024832697,0.794959681,-1.004227184,0.873989876,-0.795261328,0.454769159,-0.45175343,0.025919706,0.869421325,-1.104538546,0.956280656,-0.857286486,0.483447424,-0.36168716,0.011023413,0.541341037,-0.988233053,0.399757001,-0.685673886,0.224209514,-0.325871443,0.011587349,0.59085213,-0.92447253,0.907187712,-0.844281627,0.445406179,-0.428219349,0.032746049,-29.28691381,17.1059259,5.54056395,-33.90865934
73.05,0.99105104,-0.949313906,0.837871505,-0.955890008,0.688550363,-0.415518513,0.008078496,0.604952866,-0.903750332,0.644821787,-0.555387572,0.285517897,-0.195645205,0.005319229,1.413713371,-1.482629355,1.220386993,-1.083017856,0.407830623,-0.259746859,0.033010216,1.029286785,-1.193753331,0.961942826,-0.866469632,0.5248048,-0.382078321,0.035465851,0.728169115,-0.989608984,0.778252208,-0.777507952,0.462708377,-0.387154234,0.008060576,0.401077618,-1.211020076,0.605290502,-0.968582091,0.212422363,-0.438331026,0.008388038,0.280903862,-0.497594856,0.594321071,-0.3183412,0.249792753,-0.288050236,0.019481379,-31.17106703,15.90012326,4.73746188,-27.46970025
73.1,1.07521703,-1.083674062,0.85904124,-0.94028214,0.629530532,-0.405173609,0.010573178,0.400085984,-0.904111903,0.577632423,-0.649530011,0.183487924,-0.249930074,0.003720265,1.672006686,-1.656940281,1.280974774,-1.077395733,0.640803038,-0.305521201,0.051874992,1.155246245,-1.414596873,1.244190539,-0.959972966,0.496867371,-0.280418698,0.036116831,0.527881532,-0.976072484,0.522378452,-0.573219092,0.394151486,-0.236909206,0.006843041,0.34449052,-0.866761001,0.395257586,-0.706275707,0.181496184,-0.291751797,0.012874057,0.366193403,-1.048311684,0.401397344,-0.852443513,0.082390229,-0.478838184,0.018228539,-33.71740406,14.42160589,6.55180047,-23.8852132
